TIME_PERIOD,CISS_mean,CISS_max,period_sort,CISS_z
2009-S1,0.7425331086962532,0.9090082718714998,20091,3.3562980746141426
2009-S2,0.3626143295814082,0.6250423024336809,20092,1.1327555316474174
2010-S1,0.2990994728377089,0.620198322154093,20101,0.7610234829998275
2010-S2,0.35414514908524847,0.5197611348289679,20102,1.0831881394244005
2011-S1,0.24144550683157065,0.3489826909138579,20111,0.4235933446842546
2011-S2,0.5548684476228806,0.7150665629513893,20112,2.257957111631798
2012-S1,0.3431146975047743,0.5303005312095004,20121,1.018630450503462
2012-S2,0.19238336613745136,0.449002168491289,20122,0.1364483992920814
2013-S1,0.075273484937346,0.1617983147347727,20131,-0.5489581069535545
2013-S2,0.026063559427809305,0.1362835388874606,20132,-0.8369679893858253
2014-S1,0.010758869145280653,0.0408345424188793,20141,-0.926541424079994
2014-S2,0.017990240602040308,0.0877118703299995,20142,-0.8842185304458265
2015-S1,0.1039845830645691,0.1957273518399488,20151,-0.38092127473928095
2015-S2,0.2294155554827838,0.3836284869624158,20152,0.35318590476730977
2016-S1,0.24167564348481935,0.4699218255215216,20161,0.42494026057082035
2016-S2,0.20592577814814447,0.4659636034647901,20162,0.2157077854964605
2017-S1,0.06468165501074775,0.1406188447626294,20171,-0.6109486842672913
2017-S2,0.005886314025275459,0.0161409946206449,20172,-0.9550589236032455
2018-S1,0.02261870462748678,0.0799835486003442,20181,-0.8571296176704456
2018-S2,0.07227467680837531,0.1996227418747373,20182,-0.5665091673894092
2019-S1,0.07035878599379808,0.1727106133161259,20191,-0.5777222607348262
2019-S2,0.06308599381333882,0.1813776934647978,20192,-0.6202875765559704
2020-S1,0.27900992440272404,0.6852335230677173,20201,0.6434458109556768
2020-S2,0.10093760840385751,0.2289825418871146,20202,-0.3987542384090916
2021-S1,0.011773115739801015,0.031646985110895,20211,-0.9206053646484768
2021-S2,0.02777543253430641,0.1326453556282613,20212,-0.8269489461331454
2022-S1,0.278210933293269,0.5596952657775014,20221,0.6387695727147964
2022-S2,0.447632684150912,0.7348490229803767,20222,1.630340643809446
2023-S1,0.16942884305553202,0.3736714083069923,20231,0.002102951180577512
2023-S2,0.09380088459085689,0.1572426670546342,20232,-0.4405231897954447
2024-S1,0.03574874431124262,0.1158680873949789,20241,-0.7802837141968321
2024-S2,0.06424697027853063,0.2188867768723852,20242,-0.6134927543369909
2025-S1,0.044420764854755414,0.2110747825715864,20251,-0.7295291643509209
2025-S2,0.03006667793258983,0.0785118634656556,20252,-0.8135390230139731
2026-S1,0.034182999825962054,0.0688926561329969,20261,-0.7894475135819222
