component,FIRM_SIZE,mean_weighted_percentage,observations
access_finance_main_problem,MIC,11.253,132
access_finance_main_problem,SME,10.761,386
access_finance_main_problem,SML,10.715,132
access_finance_main_problem,MED,9.625,132
access_finance_main_problem,LAR,8.417,128
bank_loan_cost_too_high,MIC,2.402,132
bank_loan_cost_too_high,SME,2.284,386
bank_loan_cost_too_high,SML,1.614,132
bank_loan_cost_too_high,MED,0.938,132
bank_loan_cost_too_high,LAR,0.768,132
bank_loan_limited_amount,MIC,7.838,124
bank_loan_limited_amount,SML,6.814,124
bank_loan_limited_amount,SME,6.443,364
bank_loan_limited_amount,MED,5.934,124
bank_loan_limited_amount,LAR,5.829,124
bank_loan_rejected,MIC,11.564,132
bank_loan_rejected,SME,9.477,386
bank_loan_rejected,SML,6.526,132
bank_loan_rejected,MED,3.926,132
bank_loan_rejected,LAR,2.568,132
bank_willingness_deteriorated,MIC,22.676,132
bank_willingness_deteriorated,SME,19.172,386
bank_willingness_deteriorated,SML,18.623,132
bank_willingness_deteriorated,MED,15.804,132
bank_willingness_deteriorated,LAR,14.1,132
interest_rates_increased,LAR,35.702,132
interest_rates_increased,SML,34.995,132
interest_rates_increased,MIC,34.776,132
interest_rates_increased,MED,34.083,132
interest_rates_increased,SME,33.715,386
